<9 characters,Contains a space,Contains sufficient lower case,Contains sufficient upper case,Contains sufficient numbers,Contains insufficient numbers,Not similar
9 characters,Contains no space,Contains insufficient lower case,Contains insufficient upper case,Contains insufficient numbers,Contains sufficient special characters,Similar
24 characters,Contains no space,Contains sufficient lower case,Contains sufficient upper case,Contains insufficient numbers,Contains insufficient numbers,Similar
>24 characters,Contains a space,Contains insufficient lower case,Contains insufficient upper case,Contains sufficient numbers,Contains sufficient special characters,Similar
9 characters,Contains a space,Contains sufficient lower case,Contains insufficient upper case,Contains insufficient numbers,Contains sufficient special characters,Not similar
<9 characters,Contains no space,Contains insufficient lower case,Contains sufficient upper case,Contains sufficient numbers,Contains sufficient special characters,Not similar
24 characters,Contains a space,Contains insufficient lower case,Contains insufficient upper case,Contains sufficient numbers,Contains insufficient numbers,Not similar
>24 characters,Contains no space,Contains sufficient lower case,Contains sufficient upper case,Contains insufficient numbers,Contains insufficient numbers,Not similar
<9 characters,Contains a space,Contains insufficient lower case,Contains insufficient upper case,Contains insufficient numbers,Contains insufficient numbers,Similar
9 characters,Contains no space,Contains sufficient lower case,Contains sufficient upper case,Contains sufficient numbers,Contains insufficient numbers,Similar
24 characters,Contains a space,Contains sufficient lower case,Contains sufficient upper case,Contains sufficient numbers,Contains sufficient special characters,Similar
>24 characters,Contains no space,Contains insufficient lower case,Contains insufficient upper case,Contains sufficient numbers,Contains insufficient numbers,Not similar
>24 characters,Contains a space,Contains insufficient lower case,Contains sufficient upper case,Contains insufficient numbers,Contains sufficient special characters,Not similar
<9 characters,Contains no space,Contains sufficient lower case,Contains insufficient upper case,Contains insufficient numbers,Contains sufficient special characters,Similar
9 characters,Contains no space,Contains insufficient lower case,Contains sufficient upper case,Contains insufficient numbers,Contains insufficient numbers,Not similar
24 characters,Contains no space,Contains insufficient lower case,Contains insufficient upper case,Contains insufficient numbers,Contains sufficient special characters,Not similar
>24 characters,Contains no space,Contains sufficient lower case,Contains sufficient upper case,Contains sufficient numbers,Contains sufficient special characters,Similar
9 characters,Contains a space,Contains insufficient lower case,Contains insufficient upper case,Contains sufficient numbers,Contains insufficient numbers,Not similar
<9 characters,Contains no space,Contains sufficient lower case,Contains insufficient upper case,Contains sufficient numbers,Contains insufficient numbers,Similar
24 characters,Contains no space,Contains sufficient lower case,Contains sufficient upper case,Contains sufficient numbers,Contains sufficient special characters,Not similar
9 characters,Contains a space,Contains insufficient lower case,Contains sufficient upper case,Contains sufficient numbers,Contains sufficient special characters,Similar
>24 characters,Contains a space,Contains sufficient lower case,Contains insufficient upper case,Contains insufficient numbers,Contains insufficient numbers,Similar
<9 characters,Contains a space,Contains insufficient lower case,Contains insufficient upper case,Contains insufficient numbers,Contains sufficient special characters,Not similar
24 characters,Contains a space,Contains insufficient lower case,Contains sufficient upper case,Contains insufficient numbers,Contains insufficient numbers,Similar
<9 characters,Contains a space,Contains sufficient lower case,Contains sufficient upper case,Contains insufficient numbers,Contains sufficient special characters,Similar
24 characters,Contains a space,Contains sufficient lower case,Contains insufficient upper case,Contains insufficient numbers,Contains sufficient special characters,Similar
<9 characters,Contains a space,Contains insufficient lower case,Contains sufficient upper case,Contains sufficient numbers,Contains insufficient numbers,Similar
<9 characters,Contains no space,Contains insufficient lower case,Contains insufficient upper case,Contains insufficient numbers,Contains insufficient numbers,Not similar
